set_id,icd_code,icd_description,snomed,snomed_concept_name
858,L08.9,"Local infection of the skin and subcutaneous tissue, unspecified",403192003,Full thickness burn (disorder)
859,T80.89,"Other complications following infusion, transfusion and therapeutic injection",27942005,Shock (disorder)
860,T68,Hypothermia,27942005,Shock (disorder)
861,R57.8,Other shock,27942005,Shock (disorder)
862,O08.3,Shock following ectopic and molar pregnancy,27942005,Shock (disorder)
863,T81.10,Postprocedural shock unspecified,27942005,Shock (disorder)
864,R57.0,Cardiogenic shock,27942005,Shock (disorder)
865,R57.9,"Shock, unspecified",27942005,Shock (disorder)
866,O03.31,Shock following incomplete spontaneous abortion,27942005,Shock (disorder)
867,O03.81,Shock following complete or unspecified spontaneous abortion,27942005,Shock (disorder)
868,R29.89,Other symptoms and signs involving the musculoskeletal system,84229001,Fatigue (finding)
869,T73.3,Exhaustion due to excessive exertion,84229001,Fatigue (finding)
870,R53.82,"Chronic fatigue, unspecified",84229001,Fatigue (finding)
871,T73.2,Exhaustion due to exposure,84229001,Fatigue (finding)
872,R53.83,Other fatigue,84229001,Fatigue (finding)
873,D64.9,"Anemia, unspecified",84229001,Fatigue (finding)
874,M40.10,"Other secondary kyphosis, site unspecified",414564002,Kyphosis deformity of spine (disorder)
875,M40.29,Other kyphosis,414564002,Kyphosis deformity of spine (disorder)
876,M40.2,Other and unspecified kyphosis,414564002,Kyphosis deformity of spine (disorder)
877,M40.20,Unspecified kyphosis,414564002,Kyphosis deformity of spine (disorder)
878,Q05.9,"Spina bifida, unspecified",171131006,Meningocele (disorder)
879,Q05.8,Sacral spina bifida without hydrocephalus,171131006,Meningocele (disorder)
880,Q01.9,"Encephalocele, unspecified",171131006,Meningocele (disorder)
881,R45.89,Other symptoms and signs involving emotional state,225444004,At risk for suicide (finding)
882,Z71.1,Person with feared health complaint in whom no diagnosis is made,225444004,At risk for suicide (finding)
883,Z91.89,"Other specified personal risk factors, not elsewhere classified",225444004,At risk for suicide (finding)
884,R45.85,Homicidal and suicidal ideations,225444004,At risk for suicide (finding)
885,M32.9,"Systemic lupus erythematosus, unspecified",200936003,Lupus erythematosus (disorder)
886,L93,Lupus erythematosus,200936003,Lupus erythematosus (disorder)
887,E11.35,Type 2 diabetes mellitus with proliferative diabetic retinopathy,1501000119109,Proliferative retinopathy due to type 2 diabetes mellitus (disorder)
888,E66.1,Drug-induced obesity,162864005,Body mass index 30+ - obesity (finding)
889,E66.01,Morbid (severe) obesity due to excess calories,162864005,Body mass index 30+ - obesity (finding)
890,E66.2,Morbid (severe) obesity with alveolar hypoventilation,162864005,Body mass index 30+ - obesity (finding)
891,Z68.34,"Body mass index [BMI] 34.0-34.9, adult",162864005,Body mass index 30+ - obesity (finding)
892,Z68.38,"Body mass index [BMI] 38.0-38.9, adult",162864005,Body mass index 30+ - obesity (finding)
893,Z68.36,"Body mass index [BMI] 36.0-36.9, adult",162864005,Body mass index 30+ - obesity (finding)
894,Z68.30,"Body mass index [BMI]30.0-30.9, adult",162864005,Body mass index 30+ - obesity (finding)
895,Z68.31,"Body mass index [BMI] 31.0-31.9, adult",162864005,Body mass index 30+ - obesity (finding)
896,Z68.39,"Body mass index [BMI] 39.0-39.9, adult",162864005,Body mass index 30+ - obesity (finding)
897,E66.9,"Obesity, unspecified",162864005,Body mass index 30+ - obesity (finding)
898,Z68.32,"Body mass index [BMI] 32.0-32.9, adult",162864005,Body mass index 30+ - obesity (finding)
899,Z68.33,"Body mass index [BMI] 33.0-33.9, adult",162864005,Body mass index 30+ - obesity (finding)
900,Z68.37,"Body mass index [BMI] 37.0-37.9, adult",162864005,Body mass index 30+ - obesity (finding)
901,Z68.35,"Body mass index [BMI] 35.0-35.9, adult",162864005,Body mass index 30+ - obesity (finding)
902,A41.52,Sepsis due to Pseudomonas,448813005,Sepsis caused by Pseudomonas (disorder)
903,D55,Anemia due to enzyme disorders,271737000,Anemia (disorder)
904,O99.01,Anemia complicating pregnancy,271737000,Anemia (disorder)
905,D64.8,Other specified anemias,271737000,Anemia (disorder)
906,D56.1,Beta thalassemia,271737000,Anemia (disorder)
907,D75.81,Myelofibrosis,271737000,Anemia (disorder)
908,D63.1,Anemia in chronic kidney disease,271737000,Anemia (disorder)
909,D69.6,"Thrombocytopenia, unspecified",271737000,Anemia (disorder)
910,D64.89,Other specified anemias,271737000,Anemia (disorder)
911,D64.9,"Anemia, unspecified",271737000,Anemia (disorder)
912,D46.4,"Refractory anemia, unspecified",271737000,Anemia (disorder)
913,J82.83,Eosinophilic asthma,195967001,Asthma (disorder)
914,J45,Asthma,195967001,Asthma (disorder)
915,J44.9,"Chronic obstructive pulmonary disease, unspecified",195967001,Asthma (disorder)
916,R73.03,Prediabetes,714628002,Prediabetes (finding)
917,I10,Essential (primary) hypertension,59621000,Essential hypertension (disorder)
918,O99.28,"Other endocrine, nutritional and metabolic diseases complicating pregnancy, childbirth and the puerperium",59621000,Essential hypertension (disorder)
918,E27.40,Unspecified adrenocortical insufficiency,59621000,Essential hypertension (disorder)
918,O16.9,"Unspecified maternal hypertension, unspecified trimester",59621000,Essential hypertension (disorder)
919,J32,Chronic sinusitis,40055000,Chronic sinusitis (disorder)
920,C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,67811000119102,"Primary small cell malignant neoplasm of lung, TNM stage 1 (disorder)"
921,R68.89,Other general symptoms and signs,53827007,Excessive salivation (disorder)
922,K11.7,Disturbances of salivary secretion,53827007,Excessive salivation (disorder)
923,K11.20,"Sialoadenitis, unspecified",53827007,Excessive salivation (disorder)
924,Q87.89,"Other specified congenital malformation syndromes, not elsewhere classified",398152000,Poor muscle tone (finding)
925,P94.2,Congenital hypotonia,398152000,Poor muscle tone (finding)
926,R29.89,Other symptoms and signs involving the musculoskeletal system,398152000,Poor muscle tone (finding)
927,M62.89,Other specified disorders of muscle,398152000,Poor muscle tone (finding)
928,E83.30,"Disorder of phosphorus metabolism, unspecified",398152000,Poor muscle tone (finding)
929,C78.5,Secondary malignant neoplasm of large intestine and rectum,94260004,Secondary malignant neoplasm of colon (disorder)
930,F79,Unspecified intellectual disabilities,110359009,Intellectual disability (disorder)
931,Q87.19,Other congenital malformation syndromes predominantly associated with short stature,110359009,Intellectual disability (disorder)
932,G31.84,"Mild cognitive impairment, so stated",110359009,Intellectual disability (disorder)
933,F84.0,Autistic disorder,110359009,Intellectual disability (disorder)
934,Q87.89,"Other specified congenital malformation syndromes, not elsewhere classified",110359009,Intellectual disability (disorder)
935,F78,Other intellectual disabilities,110359009,Intellectual disability (disorder)
936,F72,Severe intellectual disabilities,110359009,Intellectual disability (disorder)
936,R62.50,Unspecified lack of expected normal physiological development in childhood,110359009,Intellectual disability (disorder)
936,Q21.3,Tetralogy of Fallot,110359009,Intellectual disability (disorder)
937,O09.40,"Supervision of pregnancy with grand multiparity, unspecified trimester",72892002,Normal pregnancy (finding)
938,Z33.1,"Pregnant state, incidental",72892002,Normal pregnancy (finding)
939,Z03.71,Encounter for suspected problem with amniotic cavity and membrane ruled out,72892002,Normal pregnancy (finding)
940,Z32.01,"Encounter for pregnancy test, result positive",72892002,Normal pregnancy (finding)
941,Z34,Encounter for supervision of normal pregnancy,72892002,Normal pregnancy (finding)
942,J01.90,"Acute sinusitis, unspecified",36971009,Sinusitis (disorder)
943,J30.9,"Allergic rhinitis, unspecified",36971009,Sinusitis (disorder)
944,J32.9,"Chronic sinusitis, unspecified",36971009,Sinusitis (disorder)
945,J11.1,Influenza due to unidentified influenza virus with other respiratory manifestations,36971009,Sinusitis (disorder)
946,I25.11,Atherosclerotic heart disease of native coronary artery with angina pectoris,53741008,Coronary arteriosclerosis (disorder)
947,I25.75,Atherosclerosis of native coronary artery of transplanted heart with angina pectoris,53741008,Coronary arteriosclerosis (disorder)
948,Q24.5,Malformation of coronary vessels,53741008,Coronary arteriosclerosis (disorder)
949,I25.81,Atherosclerosis of other coronary vessels without angina pectoris,53741008,Coronary arteriosclerosis (disorder)
950,I51.5,Myocardial degeneration,53741008,Coronary arteriosclerosis (disorder)
951,I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,53741008,Coronary arteriosclerosis (disorder)
952,I25.83,Coronary atherosclerosis due to lipid rich plaque,53741008,Coronary arteriosclerosis (disorder)
953,Z03.89,Encounter for observation for other suspected diseases and conditions ruled out,53741008,Coronary arteriosclerosis (disorder)
954,R43.2,Parageusia,36955009,Loss of taste (finding)
955,C61,Malignant neoplasm of prostate,314994000,Metastasis from malignant tumor of prostate (disorder)
956,E88.81,Metabolic syndrome,237602007,Metabolic syndrome X (disorder)
957,R73.09,Other abnormal glucose,237602007,Metabolic syndrome X (disorder)
958,S06.0,Concussion,62106007,Concussion with no loss of consciousness (disorder)
959,Z78.9,Other specified health status,302870006,Hypertriglyceridemia (disorder)
960,E78.2,Mixed hyperlipidemia,302870006,Hypertriglyceridemia (disorder)
961,E78.1,Pure hyperglyceridemia,302870006,Hypertriglyceridemia (disorder)
962,E78.3,Hyperchylomicronemia,302870006,Hypertriglyceridemia (disorder)
963,T65.92,"Toxic effect of unspecified substance, intentional self-harm",86849004,Suicidal deliberate poisoning (disorder)
964,B95.61,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere,406602003,Infection caused by Staphylococcus aureus (disorder)
965,B95.6,Staphylococcus aureus as the cause of diseases classified elsewhere,406602003,Infection caused by Staphylococcus aureus (disorder)
966,A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,406602003,Infection caused by Staphylococcus aureus (disorder)
967,A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",406602003,Infection caused by Staphylococcus aureus (disorder)
968,B95.7,Other staphylococcus as the cause of diseases classified elsewhere,406602003,Infection caused by Staphylococcus aureus (disorder)
969,Z98.87,Personal history of in utero procedure,120991000119102,History of undergoing in utero procedure while a fetus (situation)
970,P76.0,Meconium plug syndrome,206523001,Meconium ileus (disorder)
971,A49.8,Other bacterial infections of unspecified site,11218009,Infection caused by Pseudomonas aeruginosa (disorder)
972,B96.5,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,11218009,Infection caused by Pseudomonas aeruginosa (disorder)
972,J98.8,Other specified respiratory disorders,11218009,Infection caused by Pseudomonas aeruginosa (disorder)
973,E84.9,"Cystic fibrosis, unspecified",427089005,Diabetes mellitus due to cystic fibrosis (disorder)
973,E08.9,Diabetes mellitus due to underlying condition without complications,427089005,Diabetes mellitus due to cystic fibrosis (disorder)
974,R80.9,"Proteinuria, unspecified",157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
974,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication,157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
975,H54.7,Unspecified visual loss,60951000119105,Blindness due to type 2 diabetes mellitus (disorder)
975,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,60951000119105,Blindness due to type 2 diabetes mellitus (disorder)
976,T71.9,Asphyxiation due to unspecified cause,287182007,Attempted suicide - suffocation (event)
976,X83.8,Intentional self-harm by other specified means,287182007,Attempted suicide - suffocation (event)
977,E84.8,Cystic fibrosis with other manifestations,707577004,Female infertility due to cystic fibrosis (disorder)
977,N97.8,Female infertility of other origin,707577004,Female infertility due to cystic fibrosis (disorder)
978,R80.9,"Proteinuria, unspecified",90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
978,E11.29,Type 2 diabetes mellitus with other diabetic kidney complication,90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
979,G30.0,Alzheimer's disease with early onset,230265002,Familial Alzheimer's disease of early onset (disorder)
979,F02.80,Dementia in other diseases classified elsewhere without behavioral disturbance,230265002,Familial Alzheimer's disease of early onset (disorder)
980,A41.89,Other specified sepsis,770349000,Sepsis caused by virus (disorder)
980,B97.89,Other viral agents as the cause of diseases classified elsewhere,770349000,Sepsis caused by virus (disorder)
981,B96.89,Other specified bacterial agents as the cause of diseases classified elsewhere,75498004,Acute bacterial sinusitis (disorder)
981,J01.90,"Acute sinusitis, unspecified",75498004,Acute bacterial sinusitis (disorder)
982,J30.2,Other seasonal allergic rhinitis,232353008,Perennial allergic rhinitis with seasonal variation (disorder)
982,J30.89,Other allergic rhinitis,232353008,Perennial allergic rhinitis with seasonal variation (disorder)
983,M47.81,Spondylosis without myelopathy or radiculopathy,1121000119107,Chronic neck pain (finding)
983,G89.29,Other chronic pain,1121000119107,Chronic neck pain (finding)
984,M54.2,Cervicalgia,1121000119107,Chronic neck pain (finding)
984,G89.29,Other chronic pain,1121000119107,Chronic neck pain (finding)
985,M54.2,Cervicalgia,1121000119107,Chronic neck pain (finding)
985,G89.28,Other chronic postprocedural pain,1121000119107,Chronic neck pain (finding)
985,Z98.89,Other specified postprocedural states,1121000119107,Chronic neck pain (finding)
986,B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,301011002,Escherichia coli urinary tract infection (disorder)
986,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic",301011002,Escherichia coli urinary tract infection (disorder)
987,B96.20,Unspecified Escherichia coli [E. coli] as the cause of diseases classified elsewhere,301011002,Escherichia coli urinary tract infection (disorder)
987,N39.0,"Urinary tract infection, site not specified",301011002,Escherichia coli urinary tract infection (disorder)
988,Z16.12,Extended spectrum beta lactamase (ESBL) resistance,301011002,Escherichia coli urinary tract infection (disorder)
988,B96.29,Other Escherichia coli [E. coli] as the cause of diseases classified elsewhere,301011002,Escherichia coli urinary tract infection (disorder)
988,N39.0,"Urinary tract infection, site not specified",301011002,Escherichia coli urinary tract infection (disorder)
